ts,symbol,type,total,direction,factors,tech,whale,oi,stable_d,cluster,cvd,vol,fg,liq,ls,stw,fr,mtf,contra,rsi,rsivol,oi_pct,stable_pct,price,cvd_veto,cooldown_loss,hl_oi,hl_fr,hl_whale,vp,vp_pos,ff,ff_detail,ob,ob_pct
2026-04-22 08:57:24,LINKUSDT,W,8,LONG,5,6,0,0,0,1,1,0,-1,0,1,0,-1,2,0,70.5,28.8,0.11,9.88,9.504,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=34.4%,0,9.0
2026-04-22 08:57:40,LTCUSDT,W,3,LONG,3,4,0,0,0,0,-2,0,-1,0,1,0,0,2,0,72.0,22.9,0.1,9.88,56.29,,,0,-1,0,0,inside_va,0,fan_down pivot=85.0 dist=6.9%,0,-0.0
2026-04-22 08:57:54,OPUSDT,W,10,LONG,4,6,0,0,0,0,2,0,-1,0,1,0,0,3,2,66.3,8.1,-0.17,9.88,0.1275,,,0,-1,0,0,inside_va,0,fan_down pivot=0.0 dist=14.9%,0,5.5
2026-04-22 08:58:12,XLMUSDT,W,0,NEUTRAL,0,1,0,-1,0,1,-2,0,-1,-1,1,0,0,3,-1,73.0,69.3,-0.95,9.88,0.1796,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=23.0%,0,0.3
2026-04-22 08:58:30,TRXUSDT,W,-4,SHORT,4,-2,0,0,0,0,-2,0,-1,0,1,0,0,1,-1,49.8,79.3,-0.16,9.88,0.3324,,,0,-1,0,0,inside_va,0,fan_up pivot=0.0 dist=2.6%,0,4.7
2026-04-22 08:58:41,BGBUSDT,W,5,LONG,4,2,0,-1,0,-1,0,2,-1,0,-1,0,0,4,-1,75.4,52.5,-2.25,9.88,1.9507,,,0,0,0,0,error,-1,line=78.6%@1.95 resist,2,43.0
2026-04-22 09:33:51,BTCUSDT,T,4,LONG,7,2,0,0,0,1,1,-1,-1,1,-1,0,0,0,-1,73.3,40.6,0.46,9.87,78101.2,,,0,1,0,1,above_vah,0,fan_up pivot=59800.0 dist=4.9%,-2,-50.2
2026-04-22 09:35:03,ETHUSDT,T,3,LONG,4,5,0,1,0,-1,0,-1,-1,-1,1,0,-1,0,0,77.9,23.3,0.51,9.87,2391.32,,,0,-1,0,0,error,0,fan_up pivot=1738.0 dist=2.1%,0,13.1
2026-04-22 09:35:30,TONUSDT,T,5,LONG,4,0,0,0,0,0,0,0,-1,1,1,0,0,3,-1,76.2,32.9,-0.25,9.87,1.3778,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.7%,0,9.6
2026-04-22 09:35:49,TRBUSDT,W,10,LONG,4,8,0,0,0,-1,2,0,-1,0,1,0,0,3,2,64.7,2.0,0.08,9.87,18.974,,,0,-1,0,0,inside_va,-1,line=50.0%@19.05 resist,0,-17.7
